Date,Time,Country,Importance,Event,Actual,Forecast,Previous,Period
2026-01-28,00:30,ABD,low,API Petrol Stokları Net Değişim (23 Ocak),15.000,,-176.000,23 Ocak
2026-01-28,00:30,ABD,low,API Benzin Stokları Net Değişim (23 Ocak),-415.000,,6.21mln,23 Ocak
2026-01-28,00:30,ABD,low,API Damıtılmış Ürün Stokları Net Değişim (23 Ocak),2.01mn,,-33.000,23 Ocak
2026-01-28,00:30,ABD,low,API Cushing Petrol Stokları Net Değişim (23 Ocak),-92.000,,1.2mln,23 Ocak
2026-01-28,15:00,ABD,low,MBA Piyasa Endeksi (21 Ocak),"363,3",,"397,2",21 Ocak
2026-01-28,15:00,ABD,low,MBA Piyasa Endeksi (Haftalık) (21 Ocak),"-%8,5",,"%14,1",21 Ocak
2026-01-28,15:00,ABD,low,MBA Satınalma Endeksi (21 Ocak),"193,3",,"194,1",21 Ocak
2026-01-28,15:00,ABD,low,MBA Satınalma Endeksi (Haftalık) (21 Ocak),"-%0,4",,"%5,1",21 Ocak
2026-01-28,15:00,ABD,low,MBA Refinansman Endeksi (21 Ocak),"1332,2",,"1580,8",21 Ocak
2026-01-28,15:00,ABD,low,MBA Refinansman Endeksi (Haftalık) (21 Ocak),"-%15,7",,"%20,4",21 Ocak
2026-01-28,15:00,ABD,low,MBA 30 Yıllık Mortgage Faiz Oranı (21 Ocak),"%6,24",,"%6,15",21 Ocak
2026-01-28,15:00,ABD,low,MBA 15 Yıllık Mortgage Faiz Oranı (21 Ocak),"%5,64",,"%5,55",21 Ocak
2026-01-28,15:00,ABD,low,MBA 5 Yıllık ARM Faiz Oranı (21 Ocak),"%5,56",,"%5,42",21 Ocak
2026-01-28,15:00,ABD,low,MBA 30 Yıllık Jumbo Faiz Oranı (21 Ocak),"%6,34",,"%6,39",21 Ocak
2026-01-28,18:30,ABD,mid,DOE Petrol Stokları (Varil) (23 Ocak),,,,23 Ocak
2026-01-28,18:30,ABD,mid,DoE Petrol Stokları Net Değişim (23 Ocak),,,"3,6mln",23 Ocak
2026-01-28,18:30,ABD,mid,DoE Benzin Stokları (Varil) (23 Ocak),,,,23 Ocak
2026-01-28,18:30,ABD,mid,DoE Benzin Stokları Net Değişim (23 Ocak),,,"5,98mln",23 Ocak
